Nama_Lokasi_Kecamatan,Nama_Lokasi_,Hari,Tanggal,Total_Positif_PMK,Total_Suspek_Hari_Ini,Total_Suspect_PMK,Total_Sembuh_PMK,Total_Sembuh_Hari_Ini,Total_Mati_PMK
Prambanan, Kemudo,Senin,4 Juli 2022,,,13,,,
Prambanan, Karangturi,Senin,4 Juli 2022,,6,8,,,
Gantiwarno, Kragilan,Senin,4 Juli 2022,,6,,,,
Karangnongko, Jiwan,Senin,4 Juli 2022,,,3,,,
Manisrenggo, Tijayan,Senin,4 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Senin,4 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Senin,4 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Senin,4 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Senin,4 Juli 2022,,,13,,6,
Manisrenggo, Barukan,Senin,4 Juli 2022,,,2,,,
Wonosari, Bentangan,Senin,4 Juli 2022,,,14,,15,
Wonosari, Teloyo,Senin,4 Juli 2022,,,2,,2,
Wonosari, Kingkang,Senin,4 Juli 2022,,,1,,1,
Wonosari, Jelobo,Senin,4 Juli 2022,,,18,,,
Wedi, Sukorejo,Senin,4 Juli 2022,,,3,,3,
Wedi, Melikan,Senin,4 Juli 2022,,,6,,,
Wedi, Jiwowetan,Senin,4 Juli 2022,,4,,,,
Wedi, Kadilanggon,Senin,4 Juli 2022,,1,3,,,
Wedi, Kaligayam,Senin,4 Juli 2022,,9,17,,8,
Pedan, Ngaren,Senin,4 Juli 2022,,,1,,,
Pedan, Beji,Senin,4 Juli 2022,,,1,,,
Trucuk, Kalikebo,Senin,4 Juli 2022,,3,4,,,
Trucuk, Karangpakel,Senin,4 Juli 2022,,,2,,,
Trucuk, Sumber,Senin,4 Juli 2022,,,4,,,
Trucuk, Wanglu,Senin,4 Juli 2022,,,9,,,
Trucuk, Bero,Senin,4 Juli 2022,,,4,,,
Trucuk, Mandong,Senin,4 Juli 2022,,3,2,,,
Cawas, Karangasem,Senin,4 Juli 2022,,,1,,,
Kalikotes, Kalikotes,Senin,4 Juli 2022,,,2,,,
Kalikotes, Krajan,Senin,4 Juli 2022,,,16,,,
Karangdowo, Sentono,Senin,4 Juli 2022,,,1,,,
Ceper, Kujon,Senin,4 Juli 2022,,,5,,,
Bayat, Wiro,Senin,4 Juli 2022,,,57,,,
Klaten Tengah, Buntalan,Senin,4 Juli 2022,,7,,,,
Ngawen, Tempursari,Selasa,5 Juli 2022,,,22,,,
Ngawen, Candirejo,Selasa,5 Juli 2022,,,3,,,
Ngawen, Senden,Selasa,5 Juli 2022,,,15,,,
Ngawen, Manjungan,Selasa,5 Juli 2022,,,1,,,
Jatinom, Kayumas ,Selasa,5 Juli 2022,,,1,,,
Jatinom, Bengking ,Selasa,5 Juli 2022,,,35,,,
Jatinom, Randulanang ,Selasa,5 Juli 2022,,,6,,,
Jatinom, Beteng ,Selasa,5 Juli 2022,,,11,,,
Jatinom, Glagah,Selasa,5 Juli 2022,,,25,,,
Jatinom, Cawan,Selasa,5 Juli 2022,,,4,,,
Jatinom, Tibayan,Selasa,5 Juli 2022,,,19,,,
Jatinom, Bandungan,Selasa,5 Juli 2022,,,46,,,
Jatinom, Temuireng,Selasa,5 Juli 2022,,,9,,,
Jatinom, Pandeyan,Selasa,5 Juli 2022,,2,,,,
Jatinom, Krajan,Selasa,5 Juli 2022,,,5,,,
Jatinom, Socokangsi,Selasa,5 Juli 2022,,7,62,,,
